"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","PPI","DOMESTIC","IDX2015","M","2011-01",98.65053,
"AUT","PPI","DOMESTIC","IDX2015","M","2011-02",99.12756,
"AUT","PPI","DOMESTIC","IDX2015","M","2011-03",99.98622,
"AUT","PPI","DOMESTIC","IDX2015","M","2011-04",100.3678,
"AUT","PPI","DOMESTIC","IDX2015","M","2011-05",100.3678,
"AUT","PPI","DOMESTIC","IDX2015","M","2011-06",100.4633,
"AUT","PPI","DOMESTIC","IDX2015","M","2011-07",100.4633,
"AUT","PPI","DOMESTIC","IDX2015","M","2011-08",100.3678,
"AUT","PPI","DOMESTIC","IDX2015","M","2011-09",100.4633,
"AUT","PPI","DOMESTIC","IDX2015","M","2011-10",100.5587,
"AUT","PPI","DOMESTIC","IDX2015","M","2011-11",100.5587,
"AUT","PPI","DOMESTIC","IDX2015","M","2011-12",100.6541,
"AUT","PPI","DOMESTIC","IDX2015","M","2012-01",100.8449,
"AUT","PPI","DOMESTIC","IDX2015","M","2012-02",101.0357,
"AUT","PPI","DOMESTIC","IDX2015","M","2012-03",101.6081,
"AUT","PPI","DOMESTIC","IDX2015","M","2012-04",101.9898,
"AUT","PPI","DOMESTIC","IDX2015","M","2012-05",101.8944,
"AUT","PPI","DOMESTIC","IDX2015","M","2012-06",101.5127,
"AUT","PPI","DOMESTIC","IDX2015","M","2012-07",101.3219,
"AUT","PPI","DOMESTIC","IDX2015","M","2012-08",101.8944,
"AUT","PPI","DOMESTIC","IDX2015","M","2012-09",102.276,
"AUT","PPI","DOMESTIC","IDX2015","M","2012-10",102.3714,
"AUT","PPI","DOMESTIC","IDX2015","M","2012-11",101.9898,
"AUT","PPI","DOMESTIC","IDX2015","M","2012-12",101.7035,
"AUT","PPI","DOMESTIC","IDX2015","M","2013-01",101.799,
"AUT","PPI","DOMESTIC","IDX2015","M","2013-02",101.9898,
"AUT","PPI","DOMESTIC","IDX2015","M","2013-03",101.9898,
"AUT","PPI","DOMESTIC","IDX2015","M","2013-04",101.9898,
"AUT","PPI","DOMESTIC","IDX2015","M","2013-05",101.8944,
"AUT","PPI","DOMESTIC","IDX2015","M","2013-06",101.799,
"AUT","PPI","DOMESTIC","IDX2015","M","2013-07",101.7035,
"AUT","PPI","DOMESTIC","IDX2015","M","2013-08",101.799,
"AUT","PPI","DOMESTIC","IDX2015","M","2013-09",101.8944,
"AUT","PPI","DOMESTIC","IDX2015","M","2013-10",101.7035,
"AUT","PPI","DOMESTIC","IDX2015","M","2013-11",101.5127,
"AUT","PPI","DOMESTIC","IDX2015","M","2013-12",101.6081,
"AUT","PPI","DOMESTIC","IDX2015","M","2014-01",101.7035,
"AUT","PPI","DOMESTIC","IDX2015","M","2014-02",101.6081,
"AUT","PPI","DOMESTIC","IDX2015","M","2014-03",101.4173,
"AUT","PPI","DOMESTIC","IDX2015","M","2014-04",101.6081,
"AUT","PPI","DOMESTIC","IDX2015","M","2014-05",101.5127,
"AUT","PPI","DOMESTIC","IDX2015","M","2014-06",101.7035,
"AUT","PPI","DOMESTIC","IDX2015","M","2014-07",101.6081,
"AUT","PPI","DOMESTIC","IDX2015","M","2014-08",101.5127,
"AUT","PPI","DOMESTIC","IDX2015","M","2014-09",101.4173,
"AUT","PPI","DOMESTIC","IDX2015","M","2014-10",101.2265,
"AUT","PPI","DOMESTIC","IDX2015","M","2014-11",100.9403,
"AUT","PPI","DOMESTIC","IDX2015","M","2014-12",100.3678,
"AUT","PPI","DOMESTIC","IDX2015","M","2015-01",99.7,
"AUT","PPI","DOMESTIC","IDX2015","M","2015-02",100.2,
"AUT","PPI","DOMESTIC","IDX2015","M","2015-03",100.5,
"AUT","PPI","DOMESTIC","IDX2015","M","2015-04",100.6,
