"CubeId";"plkopr"
"PublishingDate";"2022-10-21 09:00"

"Date";"D0";"Value"
"1921-01";"LD2010100";"20.94749345"
"1921-01";"VVP";
"1921-02";"LD2010100";"20.70468115"
"1921-02";"VVP";
"1921-03";"LD2010100";"20.42310217"
"1921-03";"VVP";
"1921-04";"LD2010100";"20.2191557"
"1921-04";"VVP";
"1921-05";"LD2010100";"19.74334671"
"1921-05";"VVP";
"1921-06";"LD2010100";"19.37422045"
"1921-06";"VVP";
"1921-07";"LD2010100";"19.18008959"
"1921-07";"VVP";
"1921-08";"LD2010100";"19.09264147"
"1921-08";"VVP";
"1921-09";"LD2010100";"18.86926208"
"1921-09";"VVP";
"1921-10";"LD2010100";"18.66531562"
"1921-10";"VVP";
"1921-11";"LD2010100";"18.29618936"
"1921-11";"VVP";
"1921-12";"LD2010100";"17.84952974"
"1921-12";"VVP";
"1922-01";"LD2010100";"17.791231"
"1922-01";"VVP";"-15.06749465"
"1922-02";"LD2010100";"17.0726097"
"1922-02";"VVP";"-17.54227183"
"1922-03";"LD2010100";"16.38313778"
"1922-03";"VVP";"-19.78134542"
"1922-04";"LD2010100";"15.88789587"
"1922-04";"VVP";"-21.42156622"
"1922-05";"LD2010100";"15.48971939"
"1922-05";"VVP";"-21.54461134"
"1922-06";"LD2010100";"15.46057002"
"1922-06";"VVP";"-20.20029886"
"1922-07";"LD2010100";"15.4993367"
"1922-07";"VVP";"-19.1904885"
"1922-08";"LD2010100";"15.3731219"
"1922-08";"VVP";"-19.48142994"
"1922-09";"LD2010100";"15.3829375"
"1922-09";"VVP";"-18.47621049"
"1922-10";"LD2010100";"15.4993367"
"1922-10";"VVP";"-16.96182898"
"1922-11";"LD2010100";"15.60621774"
"1922-11";"VVP";"-14.70235999"
"1922-12";"LD2010100";"15.59650128"
"1922-12";"VVP";"-12.62234072"
"1923-01";"LD2010100";"15.62565066"
"1923-01";"VVP";"-12.1721782"
"1923-02";"LD2010100";"15.4993367"
"1923-02";"VVP";"-9.21518752"
"1923-03";"LD2010100";"15.57706837"
"1923-03";"VVP";"-4.92011619"
"1923-04";"LD2010100";"15.70338232"
"1923-04";"VVP";"-1.16134669"
"1923-05";"LD2010100";"15.84893089"
"1923-05";"VVP";"2.31903168"
"1923-06";"LD2010100";"15.99467776"
"1923-06";"VVP";"3.45464456"
"1923-07";"LD2010100";"15.99467776"
"1923-07";"VVP";"3.19588552"
"1923-08";"LD2010100";"15.99467776"
"1923-08";"VVP";"4.04313364"
"1923-09";"LD2010100";"16.00439422"
"1923-09";"VVP";"4.03990925"
"1923-10";"LD2010100";"16.05297651"
"1923-10";"VVP";"3.57202257"
"1923-11";"LD2010100";"16.26663943"
"1923-11";"VVP";"4.23178572"
"1923-12";"LD2010100";"16.34427195"
"1923-12";"VVP";"4.79447701"
"1924-01";"LD2010100";"16.41218801"
"1924-01";"VVP";"5.03362944"
"1924-02";"LD2010100";"16.33455549"
"1924-02";"VVP";"5.38873892"
"1924-03";"LD2010100";"16.33455549"
"1924-03";"VVP";"4.86283496"
"1924-04";"LD2010100";"16.25682383"
"1924-04";"VVP";"3.52434589"
"1924-05";"LD2010100";"16.22767446"
"1924-05";"VVP";"2.38971048"
"1924-06";"LD2010100";"16.27635589"
"1924-06";"VVP";"1.76107413"
"1924-07";"LD2010100";"16.32493818"
"1924-07";"VVP";"2.06481447"
"1924-08";"LD2010100";"16.31512258"
"1924-08";"VVP";"2.00344652"
"1924-09";"LD2010100";"16.33455549"
"1924-09";"VVP";"2.0629414"
"1924-10";"LD2010100";"16.58708425"
"1924-10";"VVP";"3.32715706"
"1924-11";"LD2010100";"16.65500031"
"1924-11";"VVP";"2.38746838"
"1924-12";"LD2010100";"16.61623362"
"1924-12";"VVP";"1.6639571"
"1925-01";"LD2010100";"16.48030236"
"1925-01";"VVP";"0.41502299"
"1925-02";"LD2010100";"16.47048675"
"1925-02";"VVP";"0.83216995"
"1925-03";"LD2010100";"16.44133738"
"1925-03";"VVP";"0.65371775"
"1925-04";"LD2010100";"16.34427195"
"1925-04";"VVP";"0.5379164"
"1925-05";"LD2010100";"16.31512258"
"1925-05";"VVP";"0.53888264"
"1925-06";"LD2010100";"16.32493818"
"1925-06";"VVP";"0.29848382"
"1925-07";"LD2010100";"16.30540612"
"1925-07";"VVP";"-0.11964556"
"1925-08";"LD2010100";"16.31512258"
"1925-08";"VVP";"0"
"1925-09";"LD2010100";"16.35408756"
"1925-09";"VVP";"0.11957511"
"1925-10";"LD2010100";"16.24720652"
"1925-10";"VVP";"-2.04905049"
"1925-11";"LD2010100";"16.23749006"
"1925-11";"VVP";"-2.50681621"
"1925-12";"LD2010100";"16.19862423"
"1925-12";"VVP";"-2.51326145"
"1926-01";"LD2010100";"16.10145965"
"1926-01";"VVP";"-2.29876068"
"1926-02";"LD2010100";"15.95581193"
"1926-02";"VVP";"-3.1248307"
"1926-03";"LD2010100";"15.86846296"
"1926-03";"VVP";"-3.48435418"
"1926-04";"LD2010100";"15.73253169"
"1926-04";"VVP";"-3.74284189"
"1926-05";"LD2010100";"15.71299963"
"1926-05";"VVP";"-3.69058182"
"1926-06";"LD2010100";"15.70338232"
"1926-06";"VVP";"-3.80740102"
"1926-07";"LD2010100";"15.69356671"
"1926-07";"VVP";"-3.75237145"
"1926-08";"LD2010100";"15.6159342"
"1926-08";"VVP";"-4.28552329"
"1926-09";"LD2010100";"15.64508357"
"1926-09";"VVP";"-4.33533196"
"1926-10";"LD2010100";"15.67423295"
"1926-10";"VVP";"-3.52659747"
"1926-11";"LD2010100";"15.63536711"
"1926-11";"VVP";"-3.70822673"
"1926-12";"LD2010100";"15.62565066"
"1926-12";"VVP";"-3.5371743"
"1927-01";"LD2010100";"15.55763545"
"1927-01";"VVP";"-3.37748385"
"1927-02";"LD2010100";"15.50915231"
"1927-02";"VVP";"-2.79935376"
"1927-03";"LD2010100";"15.42170419"
"1927-03";"VVP";"-2.81538779"
"1927-04";"LD2010100";"15.34397252"
"1927-04";"VVP";"-2.46978157"
"1927-05";"LD2010100";"15.4993367"
"1927-05";"VVP";"-1.35978445"
"1927-06";"LD2010100";"15.57706837"
"1927-06";"VVP";"-0.80437418"
"1927-07";"LD2010100";"15.53820253"
"1927-07";"VVP";"-0.98998642"
"1927-08";"LD2010100";"15.51886877"
"1927-08";"VVP";"-0.62157941"
"1927-09";"LD2010100";"15.65480003"
"1927-09";"VVP";"0.0621055"
"1927-10";"LD2010100";"15.6839494"
"1927-10";"VVP";"0.06199001"
"1927-11";"LD2010100";"15.76168107"
"1927-11";"VVP";"0.80787328"
"1927-12";"LD2010100";"15.73253169"
"1927-12";"VVP";"0.68401015"
"1928-01";"LD2010100";"15.66451649"
"1928-01";"VVP";"0.68700052"
"1928-02";"LD2010100";"15.59650128"
"1928-02";"VVP";"0.56320921"
"1928-03";"LD2010100";"15.51886877"
"1928-03";"VVP";"0.63005085"
"1928-04";"LD2010100";"15.54801814"
"1928-04";"VVP";"1.32980957"
"1928-05";"LD2010100";"15.57706837"
"1928-05";"VVP";"0.50151606"
"1928-06";"LD2010100";"15.6159342"
"1928-06";"VVP";"0.24950672"
"1928-07";"LD2010100";"15.64508357"
"1928-07";"VVP";"0.68785972"
"1928-08";"LD2010100";"15.59650128"
"1928-08";"VVP";"0.50024597"
"1928-09";"LD2010100";"15.63536711"
"1928-09";"VVP";"-0.12413391"
"1928-10";"LD2010100";"15.73253169"
"1928-10";"VVP";"0.30975801"
"1928-11";"LD2010100";"15.76168107"
