"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2012-02",5.198277,
"AUS","HUR","TOT","PC_LF","M","2012-03",5.181371,
"AUS","HUR","TOT","PC_LF","M","2012-04",4.992588,
"AUS","HUR","TOT","PC_LF","M","2012-05",5.196845,
"AUS","HUR","TOT","PC_LF","M","2012-06",5.16291,
"AUS","HUR","TOT","PC_LF","M","2012-07",5.177158,
"AUS","HUR","TOT","PC_LF","M","2012-08",5.155595,
"AUS","HUR","TOT","PC_LF","M","2012-09",5.487966,
"AUS","HUR","TOT","PC_LF","M","2012-10",5.411392,
"AUS","HUR","TOT","PC_LF","M","2012-11",5.257422,
"AUS","HUR","TOT","PC_LF","M","2012-12",5.432942,
"AUS","HUR","TOT","PC_LF","M","2013-01",5.38967,
"AUS","HUR","TOT","PC_LF","M","2013-02",5.404367,
"AUS","HUR","TOT","PC_LF","M","2013-03",5.637906,
"AUS","HUR","TOT","PC_LF","M","2013-04",5.585432,
"AUS","HUR","TOT","PC_LF","M","2013-05",5.605447,
"AUS","HUR","TOT","PC_LF","M","2013-06",5.695533,
"AUS","HUR","TOT","PC_LF","M","2013-07",5.629824,
"AUS","HUR","TOT","PC_LF","M","2013-08",5.841269,
"AUS","HUR","TOT","PC_LF","M","2013-09",5.704427,
"AUS","HUR","TOT","PC_LF","M","2013-10",5.825302,
"AUS","HUR","TOT","PC_LF","M","2013-11",5.798737,
"AUS","HUR","TOT","PC_LF","M","2013-12",5.901239,
"AUS","HUR","TOT","PC_LF","M","2014-01",5.939913,
"AUS","HUR","TOT","PC_LF","M","2014-02",5.892735,
"AUS","HUR","TOT","PC_LF","M","2014-03",5.871811,
"AUS","HUR","TOT","PC_LF","M","2014-04",5.800508,
"AUS","HUR","TOT","PC_LF","M","2014-05",5.925014,
"AUS","HUR","TOT","PC_LF","M","2014-06",6.048446,
"AUS","HUR","TOT","PC_LF","M","2014-07",6.184347,
