stn;time;tnd00xm0;tnd00nm0;tnd30xm0;tre200m0;tre2dymx;tre2dymn;hns010mx;hns000m0;rre150m0;hto000m0;rsd010m0;rsd100m0;rs1000m0
CHD;201301;11;30;0;-2.4;1.6;-6.3;38;54;62.8;21;11;2;0
CHD;201302;18;27;0;-4.9;-0.7;-9.1;92;109;90.9;47;12;3;0
CHD;201303;2;28;0;0.6;5.0;-2.9;37;45;69.3;29;13;2;0
CHD;201304;0;10;0;6.3;12.1;1.5;8;6;93.6;2;10;4;0
CHD;201305;0;3;0;7.5;12.8;3.0;1;1;195.0;0;21;4;0
CHD;201306;0;0;1;12.8;18.7;7.5;1;0;88.7;0;12;3;0
CHD;201307;0;0;1;16.7;23.7;11.1;0;0;145.8;0;12;5;0
CHD;201308;0;0;0;15.2;21.6;9.6;0;0;75.8;0;7;2;0
CHD;201309;0;0;0;12.1;18.0;7.5;0;0;135.4;0;13;5;0
CHD;201310;0;2;0;9.2;14.3;5.6;0;0;146.0;0;12;6;0
CHD;201311;5;21;0;1.3;5.1;-2.3;28;37;205.0;2;15;7;0
CHD;201312;3;29;0;-0.7;3.8;-4.5;37;39;44.3;12;6;2;0
CHD;201401;3;26;0;-0.2;3.5;-3.9;37;37;66.9;21;9;2;0
CHD;201402;0;28;0;0.5;5.0;-3.3;36;77;94.9;28;15;4;0
CHD;201403;0;23;0;3.8;10.7;-1.6;36;28;32.8;7;6;1;0
CHD;201404;0;7;0;7.5;13.4;2.3;13;0;92.1;0;13;3;0
CHD;201405;0;2;0;9.4;15.1;3.9;0;0;116.6;0;16;3;0
CHD;201406;0;0;1;14.4;21.1;8.3;0;0;102.9;0;10;2;0
CHD;201407;0;0;0;14.5;19.8;10.2;0;0;332.6;0;20;11;0
CHD;201408;0;0;0;13.5;19.2;9.1;0;0;180.7;0;19;6;0
CHD;201409;0;0;0;12.4;18.6;7.4;0;0;42.9;0;8;1;0
CHD;201410;0;3;0;9.8;15.5;5.3;0;0;90.1;0;10;3;0
CHD;201411;0;7;0;5.1;9.9;1.5;5;5;91.6;0;8;3;0
CHD;201412;4;23;0;0.1;3.8;-3.0;48;56;70.1;6;9;3;0
CHD;201501;11;29;0;-0.9;3.3;-4.8;69;91;120.8;15;17;4;0
CHD;201502;7;28;0;-2.7;2.0;-6.8;95;43;36.7;37;6;0;0
CHD;201503;0;22;0;3.4;8.9;-1.2;19;10;117.7;8;12;4;0
CHD;201504;0;10;0;7.0;13.4;1.2;4;4;77.0;0;10;3;0
CHD;201505;0;0;0;11.0;16.6;5.6;0;0;214.4;0;11;7;0
CHD;201506;0;0;0;14.9;21.4;9.2;0;0;120.8;0;12;5;0
CHD;201507;0;0;7;19.0;26.2;12.3;0;0;52.4;0;6;3;0
CHD;201508;0;0;1;16.3;22.5;11.2;0;0;105.7;0;11;5;0
CHD;201509;0;0;0;10.2;16.2;5.4;0;0;87.1;0;13;3;0
CHD;201510;0;1;0;7.0;11.6;3.2;0;0;64.2;0;8;2;0
CHD;201511;4;10;0;4.3;10.2;-0.3;36;36;104.1;5;9;3;0
CHD;201512;0;25;0;2.1;6.9;-1.3;31;0;17.2;6;6;0;0
CHD;201601;6;26;0;0.0;3.6;-3.7;74;77;161.4;19;21;8;0
CHD;201602;1;25;0;1.0;5.0;-2.7;42;55;118.4;11;16;4;0
CHD;201603;1;28;0;1.8;7.4;-3.0;51;50;61.9;6;11;2;0
CHD;201604;0;8;0;6.1;11.4;1.6;14;14;118.5;0;12;6;0
CHD;201605;0;4;0;9.4;15.3;4.1;14;0;238.9;0;14;9;0
CHD;201606;0;0;0;13.5;18.9;8.9;0;0;182.8;0;22;7;0
