stn;time;tnd00xm0;tnd00nm0;tnd30xm0;tre200m0;tre2dymx;tre2dymn;rre150m0;rsd010m0;rsd100m0;rs1000m0
MMZWE;201608;-;-;-;-;-;-;-;8;2;0
MMZWE;201609;0;0;0;14.1;21.8;8.5;54.4;5;3;0
MMZWE;201610;0;9;0;7.0;13.3;2.4;60.2;8;1;0
MMZWE;201611;0;15;0;3.8;9.0;-0.3;79.4;11;2;0
MMZWE;201612;0;29;0;-1.0;8.3;-5.4;0.0;0;0;0
MMZWE;201701;18;29;0;-5.5;0.1;-10.5;46.8;8;1;0
MMZWE;201702;0;20;0;2.1;8.1;-2.1;61.8;12;3;0
MMZWE;201703;-;-;-;6.5;14.3;0.6;96.8;10;5;0
MMZWE;201704;0;15;0;6.6;14.0;0.3;-;-;-;-
MMZWE;201705;0;3;0;12.1;19.6;5.2;110.0;14;6;0
MMZWE;201706;0;0;4;17.4;24.9;10.7;115.4;11;4;0
MMZWE;201707;0;0;3;17.4;24.6;11.0;-;-;-;-
MMZWE;201708;0;0;3;16.9;24.7;10.4;112.6;10;5;0
MMZWE;201709;0;0;0;10.8;17.5;5.5;73.4;12;3;0
MMZWE;201710;0;3;0;8.6;16.5;2.8;61.0;9;2;0
MMZWE;201711;1;20;0;1.7;6.6;-2.1;-;11;3;0
MMZWE;201712;8;27;0;-2.2;2.5;-6.7;120.0;16;4;0
MMZWE;201801;0;21;0;2.4;7.6;-0.8;252.0;14;8;0
MMZWE;201802;7;26;0;-2.3;2.1;-5.8;38.4;7;1;0
MMZWE;201803;0;19;0;2.7;8.3;-1.6;-;-;-;-
MMZWE;201804;-;-;-;10.1;19.2;2.1;-;-;-;-
MMZWE;201805;-;-;-;-;-;-;-;-;-;-
MMZWE;201806;0;0;0;15.6;22.6;8.8;51.8;9;1;0
MMZWE;201807;0;0;1;17.7;25.5;10.6;49.2;7;1;0
MMZWE;201808;-;-;-;-;-;-;-;-;-;-
MMZWE;201809;-;-;-;-;-;-;-;-;-;-
MMZWE;201810;-;-;-;8.2;16.6;2.4;36.4;4;3;0
MMZWE;201811;-;-;-;3.7;9.5;-0.8;8.2;4;0;0
MMZWE;201812;-;-;-;1.1;-;-;-;-;-;-
MMZWE;201901;15;31;0;-3.5;0.7;-7.7;75.8;10;2;0
MMZWE;201902;1;26;0;-1.4;7.2;-7.6;36.8;5;2;0
MMZWE;201903;0;24;0;3.7;11.2;-1.9;84.6;12;1;0
MMZWE;201904;0;13;0;6.6;13.7;0.1;46.4;6;1;0
MMZWE;201905;0;6;0;8.6;14.0;3.4;-;-;-;-
MMZWE;201906;0;0;6;16.6;24.5;9.1;96.6;10;3;0
MMZWE;201907;0;0;5;17.8;25.1;11.4;-;8;4;0
MMZWE;201908;0;0;2;16.8;24.0;10.8;168.6;12;6;0
MMZWE;201909;-;-;-;13.6;-;-;-;-;-;-
MMZWE;201910;0;0;0;10.0;16.6;5.2;92.2;12;3;0
MMZWE;201911;0;16;0;2.9;7.7;-0.6;83.6;13;2;0
MMZWE;201912;0;22;0;1.8;7.2;-2.4;102.0;14;6;0
MMZWE;202001;0;31;0;-0.4;6.7;-4.8;30.4;5;1;0
MMZWE;202002;0;19;0;3.0;10.2;-2.4;110.6;14;6;0
MMZWE;202003;0;21;0;3.8;10.4;-1.4;70.0;8;3;0
MMZWE;202004;0;10;0;9.3;18.0;1.2;54.8;5;1;0
MMZWE;202005;0;0;0;12.3;19.3;5.3;58.0;8;2;0
MMZWE;202006;0;0;0;14.1;20.2;8.5;126.6;17;4;0
MMZWE;202007;0;0;2;17.3;24.5;10.5;89.8;9;4;0
MMZWE;202008;0;0;1;16.1;23.4;10.2;246.2;14;9;0
MMZWE;202009;0;0;0;13.1;20.2;7.7;73.6;5;4;0
MMZWE;202010;0;5;0;7.1;12.9;2.9;-;-;-;-
MMZWE;202011;1;19;0;3.5;10.8;-0.9;18.2;4;0;0
MMZWE;202012;3;27;0;-0.8;3.0;-4.7;55.0;13;0;0
MMZWE;202101;13;24;0;-2.7;0.9;-6.4;133.6;14;5;0
MMZWE;202102;3;24;0;1.9;8.6;-2.6;29.2;6;0;0
MMZWE;202103;0;26;0;3.1;9.8;-2.5;76.4;8;3;0
MMZWE;202104;0;19;0;5.4;12.5;-0.9;26.2;6;0;0
MMZWE;202105;0;3;0;8.5;14.5;2.5;154.8;17;7;0
MMZWE;202106;0;0;0;16.0;23.0;10.0;193.6;15;8;0
MMZWE;202107;0;0;0;15.7;22.2;10.2;244.0;17;9;0
MMZWE;202108;0;0;3;15.1;21.9;9.5;101.8;9;4;0
MMZWE;202109;0;0;0;13.4;20.8;7.5;64.4;9;2;0
MMZWE;202110;0;14;0;7.2;15.2;1.4;16.4;5;0;0
MMZWE;202111;1;22;0;1.8;7.1;-2.0;22.2;6;0;0
MMZWE;202112;11;28;0;-3.1;1.8;-7.5;132.2;12;5;0
MMZWE;202201;4;29;0;-2.8;3.7;-7.3;28.6;5;1;0
MMZWE;202202;0;24;0;1.1;6.9;-3.6;64.6;11;3;0
MMZWE;202203;0;25;0;3.7;12.9;-3.4;8.4;1;0;0
MMZWE;202204;0;12;0;6.8;13.8;0.4;40.4;8;2;0
MMZWE;202205;0;0;1;13.5;20.5;7.1;67.2;6;3;0
MMZWE;202206;0;0;2;16.8;24.4;9.4;121.2;12;6;0
MMZWE;202207;0;0;5;18.2;26.7;10.2;53.0;6;2;0
MMZWE;202208;0;0;2;17.1;25.6;9.8;98.6;8;4;0
MMZWE;202209;0;1;0;11.7;18.4;6.5;135.8;15;4;0
MMZWE;202210;0;0;0;11.1;18.9;5.6;-;8;3;0

