stn;time;rre150m0;rsd010m0;rsd100m0;rs1000m0
VDCHX;201301;60.0;6;2;0
VDCHX;201302;81.7;9;2;0
VDCHX;201303;54.1;10;2;0
VDCHX;201304;87.7;9;3;0
VDCHX;201305;164.9;17;4;0
VDCHX;201306;70.5;9;3;0
VDCHX;201307;124.3;11;4;0
VDCHX;201308;71.2;7;2;0
VDCHX;201309;126.9;13;5;0
VDCHX;201310;128.9;11;6;0
VDCHX;201311;127.5;12;5;0
VDCHX;201312;43.6;5;2;0
VDCHX;201401;66.3;8;2;0
VDCHX;201402;88.6;13;3;0
VDCHX;201403;33.4;4;1;0
VDCHX;201404;91.3;11;4;0
VDCHX;201405;97.4;15;2;0
VDCHX;201406;72.2;10;2;0
VDCHX;201407;264.4;19;10;0
VDCHX;201408;158.7;19;7;0
VDCHX;201409;34.9;7;1;0
VDCHX;201410;78.4;9;3;0
VDCHX;201411;77.9;7;2;0
VDCHX;201412;54.2;8;2;0
VDCHX;201501;88.4;14;2;0
VDCHX;201502;20.4;5;0;0
VDCHX;201503;105.0;10;4;0
VDCHX;201504;65.9;10;3;0
VDCHX;201505;188.6;10;5;0
VDCHX;201506;118.7;11;6;0
VDCHX;201507;55.7;6;3;0
VDCHX;201508;100.9;9;5;0
VDCHX;201509;76.2;12;2;0
VDCHX;201510;57.6;8;2;0
VDCHX;201511;106.0;7;2;0
VDCHX;201512;8.7;4;0;0
VDCHX;201601;137.9;15;6;0
VDCHX;201602;93.0;15;3;0
VDCHX;201603;51.1;7;2;0
VDCHX;201604;78.1;10;2;0
VDCHX;201605;159.4;14;6;0
VDCHX;201606;139.5;20;4;0
VDCHX;201607;137.3;15;4;0
VDCHX;201608;80.2;6;4;0
VDCHX;201609;42.5;5;2;0
VDCHX;201610;61.9;7;3;0
VDCHX;201611;103.1;11;5;0
VDCHX;201612;1.0;1;0;0
VDCHX;201701;40.2;6;1;0
VDCHX;201702;77.2;8;4;0
VDCHX;201703;98.9;9;4;0
VDCHX;201704;31.3;7;1;0
VDCHX;201705;99.1;11;4;0
VDCHX;201706;112.5;13;3;0
VDCHX;201707;115.0;11;5;0
VDCHX;201708;107.5;9;4;0
VDCHX;201709;53.7;9;2;0
VDCHX;201710;44.1;9;1;0
VDCHX;201711;92.7;11;3;0
VDCHX;201712;145.0;17;6;0
VDCHX;201801;253.8;13;8;0
VDCHX;201802;35.5;5;1;0
VDCHX;201803;64.6;12;3;0
VDCHX;201804;39.9;3;1;0
VDCHX;201805;98.9;15;3;0
VDCHX;201806;85.9;6;4;0
VDCHX;201807;53.8;10;1;0
VDCHX;201808;126.4;12;6;0
VDCHX;201809;45.9;5;2;0
VDCHX;201810;36.7;5;2;0
VDCHX;201811;12.1;6;0;0
VDCHX;201812;162.9;14;7;0
VDCHX;201901;61.8;7;1;0
VDCHX;201902;80.4;8;2;0
VDCHX;201903;93.8;12;3;0
VDCHX;201904;51.4;8;3;0
VDCHX;201905;141.7;13;6;0
VDCHX;201906;107.6;10;3;0
VDCHX;201907;115.8;8;5;0
VDCHX;201908;166.8;14;6;0
VDCHX;201909;61.5;6;2;0
VDCHX;201910;124.2;12;5;0
VDCHX;201911;115.4;13;4;0
VDCHX;201912;117.2;14;4;0
VDCHX;202001;33.6;4;2;0
VDCHX;202002;129.8;13;6;0
VDCHX;202003;78.9;7;5;0
VDCHX;202004;57.3;4;2;0
VDCHX;202005;47.6;8;1;0
VDCHX;202006;109.8;16;2;0
VDCHX;202007;50.1;6;2;0
VDCHX;202008;201.1;11;6;0
VDCHX;202009;75.6;8;2;0
VDCHX;202010;136.3;13;6;0
VDCHX;202011;26.8;5;1;0
VDCHX;202012;70.0;14;2;0
VDCHX;202101;126.0;16;4;0
VDCHX;202102;28.4;8;0;0
VDCHX;202103;77.0;9;4;0
VDCHX;202104;37.4;8;1;0
VDCHX;202105;125.6;15;5;0
VDCHX;202106;108.6;15;4;0
VDCHX;202107;169.8;14;8;0
VDCHX;202108;68.8;7;2;0
VDCHX;202109;70.7;12;3;0
VDCHX;202110;23.6;7;0;0
VDCHX;202111;26.1;6;0;0
VDCHX;202112;101.0;13;3;0
VDCHX;202201;42.4;6;1;0
VDCHX;202202;74.8;12;3;0
VDCHX;202203;15.3;3;0;0
VDCHX;202204;68.7;11;2;0
VDCHX;202205;40.4;6;2;0
VDCHX;202206;85.4;12;3;0
VDCHX;202207;46.0;5;2;0
VDCHX;202208;121.3;8;4;0
VDCHX;202209;143.0;16;4;0
VDCHX;202210;61.0;7;2;0
