,DATE,Argentina,Australien,Austria,Bahrain,Belarus,Belgium,Brasil,Bulgaria,Canada,China,Croatia,Cyprus,Czech Republic,Denmark,Egypt,Estonia,Finland,France,Germany,Greece,Herkunftsland - Total,Hongkong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Kuwait,Latvia,Liechtenstein,Lithuania,Luxembourg,Malaysia,Malta,Mexico,Netherlands,New Zealand,Norway,Oman,Philippinen,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,guests-St. Moritz,guests-Arosa,guests-Zermatt,AUS_GDP,AUT_GDP,BEL_GDP,BGR_GDP,CAN_GDP,CHE_GDP,CHL_GDP,COL_GDP,CRI_GDP,CZE_GDP,DEU_GDP,DNK_GDP,ESP_GDP,EST_GDP,FIN_GDP,FRA_GDP,GBR_GDP,GRC_GDP,HRV_GDP,HUN_GDP,IRL_GDP,ISL_GDP,ISR_GDP,ITA_GDP,JPN_GDP,KOR_GDP,LTU_GDP,LUX_GDP,LVA_GDP,MEX_GDP,NLD_GDP,NOR_GDP,NZL_GDP,POL_GDP,PRT_GDP,ROU_GDP,RUS_GDP,SAU_GDP,SVK_GDP,SVN_GDP,SWE_GDP,USA_GDP,ZAF_GDP,ARS1_exrate,AUD1_exrate,BRL100_exrate,CAD1_exrate,CNY100_exrate,CZK100_exrate,DKK100_exrate,EUR1_exrate,GBP1_exrate,HKD100_exrate,HUF100_exrate,JPY100_exrate,KRW100_exrate,MXN100_exrate,MYR100_exrate,NOK100_exrate,NZD1_exrate,PLN100_exrate,RUB1_exrate,SEK100_exrate,SGD1_exrate,THB100_exrate,TRY100_exrate,USD1_exrate,ZAR1_exrate,AUS,AUT,BEL,CAN,CHL,COL,CRI,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HUN,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MEX,NLD,NOR,POL,PRT,SVK,SVN,SWE,TUR,USA,AUS_unemprate,AUT_unemprate,BEL_unemprate,CAN_unemprate,CHL_unemprate,COL_unemprate,CRI_unemprate,CZE_unemprate,DEU_unemprate,DNK_unemprate,ESP_unemprate,EST_unemprate,FIN_unemprate,FRA_unemprate,GBR_unemprate,GRC_unemprate,HUN_unemprate,IRL_unemprate,ISL_unemprate,ISR_unemprate,ITA_unemprate,JPN_unemprate,KOR_unemprate,LTU_unemprate,LUX_unemprate,LVA_unemprate,MEX_unemprate,NLD_unemprate,NOR_unemprate,POL_unemprate,PRT_unemprate,SVK_unemprate,SVN_unemprate,SWE_unemprate,TUR_unemprate,USA_unemprate,eistage - chd,frosttage - chd,hitzetage - chd,avg. temp - chd,avg. maxtemp - chd,tre2dymn,cm neuschnee - chd,mm rain - chd,cm avg. snowheight - chd,days rain >1mm - chd,days rain >10mm - chd,cm neuschnee - gsg,cm avg. snowheight - gsg,mm rain - gsg,days rain >1mm - gsg,days rain >10mm - gsg,cm neuschnee - zwe,cm avg. snowheight - zwe,mm rain - zwe,days rain >1mm - zwe,days rain >10mm - zwe
0,2013-01-01,8.0,218.0,98.0,10.0,32.0,721.0,331.0,9.0,159.0,29.0,0.0,17.0,33.0,6.0,25.0,8.0,17.0,1851.0,2950.0,269.0,39240.0,50.0,26.0,28.0,64.0,4.0,25.0,97.0,802.0,52.0,46.0,12.0,16.0,0.0,210.0,2.0,0.0,154.0,562.0,10.0,12.0,135.0,0.0,50.0,95.0,19.0,15.0,2376.0,422.0,58.0,6.0,12.0,0.0,7.0,10.0,701.0,52.0,21329.0,0.0,759.0,269.0,237.0,179.0,1610.0,1059.0,96769.0,73314.0,141988.0,45427.6,47334.3,43042.5,16400.1,43545.0,60881.1,22025.8,12445.8,15299.3,29943.7,43990.0,46065.6,32076.8,27101.7,41006.6,38826.8,39419.9,25402.4,21963.592249582,23902.3,46799.5,43702.0,33987.9,36002.5,38841.2,33938.2,26083.4,98438.7,22058.8,17364.1,48698.2,66587.5,34494.3,23609.6,27191.6,19231.3,25591.7,50931.05657832465,27602.7,29541.8,46255.1,52591.0,13638.8,18.677,0.97002,45.4609,0.9318,14.70635,4.8106,16.4561,1.228,1.4768,11.91839,0.4183,1.03952,0.0866,7.2761,30.3561,16.6422,0.7734,29.6748,0.0306,14.2378,0.7524,3.0718,52.14739,0.9241,0.1053,5.38967,5.9,8.6,7.1,6.648388,10.11165,9.936877,6.8,5.1,7.9,26.3,10.0,8.6,10.4,8.0,27.4,11.2,14.7,6.1,6.683896,12.1,4.2,3.2,12.4,5.5,13.1,5.208234,7.5,3.8,10.8,18.3,14.2,10.2,8.1,8.8,8.0,5.38967,5.9,8.6,7.1,6.648388,10.11165,9.936877,6.8,5.1,7.9,26.3,10.0,8.6,10.4,8.0,27.4,11.2,14.7,6.1,6.683896,12.1,4.2,3.2,12.4,5.5,13.1,5.208234,7.5,3.8,10.8,18.3,14.2,10.2,8.1,8.8,8.0,11,30,0,-2.4,1.6,-6.3,54,62.8,21,11,2,76,57,97.1,13,4,33,5,66.8,9,2
1,2013-02-01,12.0,13.0,180.0,21.0,2.0,2023.0,323.0,176.0,82.0,84.0,0.0,6.0,71.0,203.0,14.0,0.0,37.0,3030.0,2830.0,176.0,46474.0,101.0,12.0,31.0,91.0,54.0,11.0,78.0,745.0,80.0,122.0,6.0,21.0,32.0,449.0,42.0,0.0,122.0,1292.0,1.0,88.0,132.0,0.0,45.0,172.0,38.0,75.0,831.0,346.0,0.0,84.0,2.0,27.0,32.0,65.0,726.0,260.0,24952.0,37.0,132.0,299.0,62.0,153.0,3210.0,1317.0,92543.0,87284.0,155304.0,45427.6,47334.3,43042.5,16400.1,43545.0,60881.1,22025.8,12445.8,15299.3,29943.7,43990.0,46065.6,32076.8,27101.7,41006.6,38826.8,39419.9,25402.4,21963.592249582,23902.3,46799.5,43702.0,33987.9,36002.5,38841.2,33938.2,26083.4,98438.7,22058.8,17364.1,48698.2,66587.5,34494.3,23609.6,27191.6,19231.3,25591.7,50931.05657832465,27602.7,29541.8,46255.1,52591.0,13638.8,18.373,0.94904,46.565,0.9124,14.6638,4.8282,16.4835,1.2298,1.4248,11.86465,0.4201,0.98851,0.0846,7.237,29.681,16.5575,0.7719,29.4755,0.0305,14.4525,0.743,3.0849,51.7865,0.9202,0.1034,5.404367,5.5,8.6,7.1,6.446716,10.64884,9.729895,7.5,5.1,7.2,26.4,9.7,8.5,10.4,7.8,27.5,10.8,14.6,6.1,6.781888,12.1,4.3,3.2,12.0,5.6,12.6,4.848728,7.7,4.0,10.9,18.2,14.2,10.6,8.2,8.8,7.7,5.404367,5.5,8.6,7.1,6.446716,10.64884,9.729895,7.5,5.1,7.2,26.4,9.7,8.5,10.4,7.8,27.5,10.8,14.6,6.1,6.781888,12.1,4.3,3.2,12.0,5.6,12.6,4.848728,7.7,4.0,10.9,18.2,14.2,10.6,8.2,8.8,7.7,18,27,0,-4.9,-0.7,-9.1,109,90.9,47,12,3,120,86,138.0,13,2,119,27,105.3,11,3
2,2013-03-01,14.0,18.0,37.0,10.0,0.0,819.0,77.0,8.0,58.0,16.0,15.0,6.0,11.0,74.0,18.0,0.0,39.0,5405.0,2766.0,121.0,33899.0,48.0,4.0,73.0,92.0,6.0,15.0,75.0,293.0,16.0,7.0,0.0,20.0,2.0,152.0,2.0,0.0,9.0,575.0,14.0,62.0,63.0,30.0,25.0,74.0,10.0,8.0,637.0,3.0,0.0,2.0,4.0,5.0,13.0,4.0,515.0,215.0,18544.0,0.0,25.0,46.0,119.0,100.0,1150.0,792.0,91716.0,77321.0,177233.0,45427.6,47334.3,43042.5,16400.1,43545.0,60881.1,22025.8,12445.8,15299.3,29943.7,43990.0,46065.6,32076.8,27101.7,41006.6,38826.8,39419.9,25402.4,21963.592249582,23902.3,46799.5,43702.0,33987.9,36002.5,38841.2,33938.2,26083.4,98438.7,22058.8,17364.1,48698.2,66587.5,34494.3,23609.6,27191.6,19231.3,25591.7,50931.05657832465,27602.7,29541.8,46255.1,52591.0,13638.8,18.601,0.97811,47.6333,0.9232,15.08571,4.7802,16.449,1.2264,1.427,12.19293,0.4047,0.99828,0.0857,7.5629,30.4143,16.3814,0.7834,29.5119,0.0307,14.6938,0.759,3.2053,52.27762,0.946,0.1029,5.637906,6.0,8.6,7.3,6.5341,10.07154,9.696481,7.4,5.0,7.5,26.4,9.1,8.3,10.4,7.8,27.7,10.2,14.3,6.1,6.71277,12.1,4.1,3.0,11.8,5.7,12.0,4.907551,7.9,4.1,10.9,18.1,14.2,10.8,8.5,9.0,7.5,5.637906,6.0,8.6,7.3,6.5341,10.07154,9.696481,7.4,5.0,7.5,26.4,9.1,8.3,10.4,7.8,27.7,10.2,14.3,6.1,6.71277,12.1,4.1,3.0,11.8,5.7,12.0,4.907551,7.9,4.1,10.9,18.1,14.2,10.8,8.5,9.0,7.5,2,28,0,0.6,5.0,-2.9,45,69.3,29,13,2,63,78,76.8,11,2,42,10,69.2,13,3
3,2013-04-01,4.0,34.0,5.0,14.0,0.0,545.0,16.0,0.0,2.0,19.0,0.0,0.0,7.0,10.0,0.0,0.0,8.0,490.0,418.0,22.0,6839.0,8.0,0.0,2.0,46.0,6.0,0.0,15.0,68.0,4.0,0.0,0.0,21.0,0.0,11.0,0.0,0.0,0.0,74.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,38.0,4.0,4619.0,8.0,65.0,0.0,2.0,23.0,87.0,105.0,18222.0,7010.0,82763.0,46507.8,47667.2,43530.7,16476.4,44044.2,61471.4,22179.4,12758.4,15340.0,30487.2,44827.7,46462.9,32322.9,27297.0,41415.1,39507.3,39859.9,25857.7,22116.159289496,24330.6,47493.4,43946.1,34865.8,36189.5,39363.7,34149.3,26552.9,100639.9,22294.2,17256.2,49032.2,66614.3,35023.6,23959.9,27815.6,19551.4,25999.2,50760.15160384988,27870.7,29890.5,46189.2,52724.4,13770.7,18.2045,0.97392,46.7773,0.9204,14.99827,4.7199,16.3614,1.2198,1.4347,12.07996,0.4081,0.9596,0.0836,7.68,30.755,16.1736,0.7947,29.4618,0.0299,14.4532,0.7575,3.2227,52.15591,0.9377,0.1029,5.585432,5.5,8.6,7.2,6.316292,10.14992,10.14768,6.9,5.0,8.3,26.3,8.1,8.2,10.5,7.8,27.9,10.0,14.5,6.1,6.702244,12.3,4.1,3.0,11.9,5.7,11.5,5.144341,8.0,4.1,11.0,17.9,14.2,10.8,8.4,9.1,7.6,5.585432,5.5,8.6,7.2,6.316292,10.14992,10.14768,6.9,5.0,8.3,26.3,8.1,8.2,10.5,7.8,27.9,10.0,14.5,6.1,6.702244,12.3,4.1,3.0,11.9,5.7,11.5,5.144341,8.0,4.1,11.0,17.9,14.2,10.8,8.4,9.1,7.6,0,10,0,6.3,12.1,1.5,6,93.6,2,10,4,21,29,120.0,11,4,8,0,92.9,9,4
4,2013-05-01,0.0,17.0,20.0,0.0,375.0,233.0,6.0,0.0,24.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,322.0,677.0,14.0,9308.0,2.0,1.0,7.0,108.0,0.0,0.0,27.0,20.0,2.0,0.0,0.0,4.0,0.0,49.0,0.0,0.0,0.0,120.0,3.0,0.0,5.0,0.0,12.0,13.0,0.0,0.0,6.0,26.0,0.0,8.0,0.0,0.0,0.0,0.0,64.0,0.0,6637.0,0.0,30.0,3.0,6.0,1.0,287.0,131.0,17055.0,307.0,34342.0,46507.8,47667.2,43530.7,16476.4,44044.2,61471.4,22179.4,12758.4,15340.0,30487.2,44827.7,46462.9,32322.9,27297.0,41415.1,39507.3,39859.9,25857.7,22116.159289496,24330.6,47493.4,43946.1,34865.8,36189.5,39363.7,34149.3,26552.9,100639.9,22294.2,17256.2,49032.2,66614.3,35023.6,23959.9,27815.6,19551.4,25999.2,50760.15160384988,27870.7,29890.5,46189.2,52724.4,13770.7,18.2396,0.94584,46.9391,0.9358,15.42609,4.7912,16.6452,1.2406,1.4611,12.30295,0.4239,0.94755,0.0858,7.7709,31.6087,16.3978,0.7875,29.6791,0.0305,14.4665,0.7649,3.2076,52.30783,0.955,0.1022,5.605447,5.4,8.6,7.0,6.008536,9.542316,10.51213,7.2,5.0,6.6,26.1,7.9,8.6,10.4,7.7,27.9,10.1,14.5,6.1,6.645461,12.4,4.1,3.0,11.7,5.8,11.3,5.085738,8.1,3.9,10.9,17.7,14.2,10.6,8.0,9.0,7.5,5.605447,5.4,8.6,7.0,6.008536,9.542316,10.51213,7.2,5.0,6.6,26.1,7.9,8.6,10.4,7.7,27.9,10.1,14.5,6.1,6.645461,12.4,4.1,3.0,11.7,5.8,11.3,5.085738,8.1,3.9,10.9,17.7,14.2,10.6,8.0,9.0,7.5,0,3,0,7.5,12.8,3.0,1,195.0,0,21,4,0,0,210.7,21,6,0,0,163.2,18,4
5,2013-06-01,10.0,60.0,100.0,4.0,0.0,218.0,49.0,0.0,111.0,137.0,0.0,0.0,17.0,22.0,5.0,0.0,26.0,585.0,1163.0,25.0,19339.0,5.0,14.0,14.0,647.0,29.0,8.0,30.0,76.0,30.0,22.0,0.0,12.0,3.0,67.0,6.0,0.0,10.0,235.0,9.0,26.0,69.0,30.0,19.0,86.0,54.0,3.0,86.0,244.0,9.0,19.0,16.0,4.0,16.0,0.0,114.0,54.0,13110.0,3.0,35.0,2.0,0.0,154.0,600.0,706.0,44699.0,9663.0,76121.0,46507.8,47667.2,43530.7,16476.4,44044.2,61471.4,22179.4,12758.4,15340.0,30487.2,44827.7,46462.9,32322.9,27297.0,41415.1,39507.3,39859.9,25857.7,22116.159289496,24330.6,47493.4,43946.1,34865.8,36189.5,39363.7,34149.3,26552.9,100639.9,22294.2,17256.2,49032.2,66614.3,35023.6,23959.9,27815.6,19551.4,25999.2,50760.15160384988,27870.7,29890.5,46189.2,52724.4,13770.7,17.5165,0.88095,43.03,0.9061,15.1227,4.7894,16.527,1.2326,1.4463,12.03865,0.4168,0.95879,0.0823,7.223,29.707,15.932,0.7384,28.784,0.0289,14.208,0.7415,3.0308,49.2425,0.9343,0.0932,5.695533,5.4,8.5,7.2,5.595903,9.591992,10.1472,6.7,4.9,7.5,26.1,7.7,7.4,10.4,7.7,27.8,9.7,14.1,6.1,6.180736,12.4,3.9,3.1,11.6,5.9,11.3,5.080983,8.3,3.7,10.7,17.4,14.3,10.2,8.2,8.9,7.5,5.695533,5.4,8.5,7.2,5.595903,9.591992,10.1472,6.7,4.9,7.5,26.1,7.7,7.4,10.4,7.7,27.8,9.7,14.1,6.1,6.180736,12.4,3.9,3.1,11.6,5.9,11.3,5.080983,8.3,3.7,10.7,17.4,14.3,10.2,8.2,8.9,7.5,0,0,1,12.8,18.7,7.5,0,88.7,0,12,3,0,0,95.9,11,4,0,0,101.3,10,4
6,2013-07-01,127.0,149.0,224.0,0.0,0.0,570.0,454.0,25.0,126.0,150.0,0.0,2.0,67.0,32.0,24.0,1.0,24.0,1706.0,1669.0,35.0,34824.0,69.0,0.0,6.0,257.0,3.0,0.0,146.0,279.0,21.0,17.0,16.0,80.0,7.0,55.0,18.0,0.0,28.0,592.0,0.0,59.0,5.0,0.0,29.0,36.0,2.0,62.0,257.0,77.0,2.0,32.0,26.0,0.0,19.0,2.0,245.0,160.0,23837.0,2.0,30.0,100.0,0.0,164.0,978.0,1413.0,87058.0,43208.0,149403.0,47352.3,48171.7,43892.5,16711.1,44620.0,62107.9,22394.5,12884.6,15739.3,31033.7,45453.3,47068.1,32584.2,27504.1,41734.0,39768.5,40183.7,26206.3,22118.823942475,24855.3,48877.0,44109.2,35141.1,36408.9,39846.1,34332.7,26928.5,101414.5,22845.7,17467.9,49507.4,68125.2,35859.5,24188.1,28103.5,19521.6,26253.2,51351.7290381548,28162.5,30083.9,46368.6,53280.7,13843.1,17.39,0.86651,42.0217,0.908,15.31109,4.7661,16.5796,1.2364,1.435,12.18619,0.4193,0.94857,0.0839,7.4152,29.6017,15.6865,0.7457,28.9122,0.0289,14.2813,0.7452,3.0369,48.92739,0.9452,0.0953,5.629824,5.9,8.5,7.1,5.580371,9.587996,9.525619,6.7,4.9,7.5,26.1,7.6,7.8,10.3,7.7,28.0,9.7,13.6,6.0,6.112481,12.1,3.8,3.2,11.7,5.9,11.8,4.820954,8.5,3.7,10.6,17.3,14.1,9.8,8.1,9.1,7.3,5.629824,5.9,8.5,7.1,5.580371,9.587996,9.525619,6.7,4.9,7.5,26.1,7.6,7.8,10.3,7.7,28.0,9.7,13.6,6.0,6.112481,12.1,3.8,3.2,11.7,5.9,11.8,4.820954,8.5,3.7,10.6,17.3,14.1,9.8,8.1,9.1,7.3,0,0,1,16.7,23.7,11.1,0,145.8,0,12,5,0,0,125.7,13,5,0,0,105.9,11,3
7,2013-08-01,172.0,176.0,156.0,201.0,0.0,825.0,49.0,0.0,57.0,110.0,0.0,0.0,28.0,35.0,3.0,0.0,0.0,4098.0,2165.0,40.0,36608.0,28.0,14.0,11.0,197.0,16.0,43.0,153.0,1721.0,83.0,22.0,23.0,53.0,0.0,162.0,37.0,2.0,55.0,845.0,3.0,32.0,42.0,0.0,12.0,209.0,124.0,27.0,221.0,293.0,12.0,47.0,1.0,3.0,10.0,4.0,361.0,62.0,19026.0,3.0,47.0,44.0,2.0,494.0,1998.0,1583.0,86305.0,40855.0,145497.0,47352.3,48171.7,43892.5,16711.1,44620.0,62107.9,22394.5,12884.6,15739.3,31033.7,45453.3,47068.1,32584.2,27504.1,41734.0,39768.5,40183.7,26206.3,22118.823942475,24855.3,48877.0,44109.2,35141.1,36408.9,39846.1,34332.7,26928.5,101414.5,22845.7,17467.9,49507.4,68125.2,35859.5,24188.1,28103.5,19521.6,26253.2,51351.7290381548,28162.5,30083.9,46368.6,53280.7,13843.1,16.6145,0.83677,39.5909,0.8904,15.0055,4.7779,16.5382,1.2334,1.4354,11.94533,0.4119,0.94646,0.083,7.1791,28.2518,15.5386,0.7333,29.1668,0.0281,14.1791,0.728,2.9311,47.265,0.9264,0.092,5.841269,5.6,8.4,7.1,5.645571,9.776751,8.936815,7.1,4.9,7.1,26.1,7.9,8.2,10.1,7.6,27.9,10.0,13.3,6.0,5.762271,12.4,4.1,3.2,11.8,5.9,12.1,4.831252,8.5,4.3,10.5,16.6,14.0,9.7,8.2,9.2,7.2,5.841269,5.6,8.4,7.1,5.645571,9.776751,8.936815,7.1,4.9,7.1,26.1,7.9,8.2,10.1,7.6,27.9,10.0,13.3,6.0,5.762271,12.4,4.1,3.2,11.8,5.9,12.1,4.831252,8.5,4.3,10.5,16.6,14.0,9.7,8.2,9.2,7.2,0,0,0,15.2,21.6,9.6,0,75.8,0,7,2,0,0,79.5,9,4,0,0,68.8,9,3
8,2013-09-01,7.0,60.0,130.0,0.0,0.0,583.0,30.0,2.0,83.0,74.0,13.0,6.0,9.0,72.0,3.0,0.0,6.0,979.0,1796.0,26.0,23558.0,4.0,19.0,3.0,69.0,6.0,0.0,58.0,286.0,19.0,38.0,4.0,6.0,0.0,48.0,0.0,12.0,24.0,190.0,8.0,27.0,0.0,2.0,9.0,115.0,0.0,12.0,77.0,122.0,0.0,16.0,0.0,6.0,27.0,2.0,129.0,40.0,16777.0,0.0,6.0,9.0,0.0,116.0,670.0,576.0,41332.0,19073.0,95410.0,47352.3,48171.7,43892.5,16711.1,44620.0,62107.9,22394.5,12884.6,15739.3,31033.7,45453.3,47068.1,32584.2,27504.1,41734.0,39768.5,40183.7,26206.3,22118.823942475,24855.3,48877.0,44109.2,35141.1,36408.9,39846.1,34332.7,26928.5,101414.5,22845.7,17467.9,49507.4,68125.2,35859.5,24188.1,28103.5,19521.6,26253.2,51351.7290381548,28162.5,30083.9,46368.6,53280.7,13843.1,16.1238,0.85774,40.6476,0.8923,14.99871,4.7841,16.5424,1.2338,1.4653,11.91932,0.4117,0.93145,0.0852,7.0724,28.4295,15.4805,0.7518,29.1286,0.0283,14.2229,0.7315,2.915,45.79286,0.9244,0.0926,5.704427,6.0,8.5,7.1,5.873247,9.470845,8.980711,7.0,4.9,7.5,26.0,8.1,8.4,10.2,7.4,28.0,9.3,13.1,6.0,5.813193,12.6,3.9,3.0,11.7,6.0,12.1,4.949131,8.5,3.9,10.4,16.3,14.0,9.6,8.3,9.3,7.2,5.704427,6.0,8.5,7.1,5.873247,9.470845,8.980711,7.0,4.9,7.5,26.0,8.1,8.4,10.2,7.4,28.0,9.3,13.1,6.0,5.813193,12.6,3.9,3.0,11.7,6.0,12.1,4.949131,8.5,3.9,10.4,16.3,14.0,9.6,8.3,9.3,7.2,0,0,0,12.1,18.0,7.5,0,135.4,0,13,5,0,0,181.4,14,5,0,0,140.8,13,4
9,2013-10-01,1.0,29.0,18.0,0.0,0.0,142.0,37.0,15.0,31.0,11.0,0.0,0.0,15.0,26.0,0.0,16.0,9.0,649.0,674.0,8.0,13864.0,6.0,10.0,1.0,32.0,0.0,0.0,6.0,91.0,0.0,16.0,0.0,18.0,0.0,39.0,6.0,0.0,7.0,119.0,0.0,13.0,0.0,0.0,4.0,17.0,0.0,0.0,2.0,18.0,0.0,18.0,0.0,6.0,8.0,0.0,77.0,25.0,11277.0,0.0,23.0,4.0,2.0,11.0,173.0,119.0,18455.0,8319.0,47405.0,47839.8,48498.5,44224.2,16908.3,45243.5,62369.7,22557.9,13103.7,15967.8,31818.5,46017.2,47375.9,32880.3,27780.0,41816.5,40195.5,40320.6,26621.2,22178.896563108,25130.0,47709.5,45618.8,35065.8,36450.0,39817.6,34549.9,27423.7,101274.6,23318.2,17673.5,49721.9,68177.0,36431.9,24329.5,28650.0,20049.1,26507.2,51475.9269973342,28457.9,30742.5,46645.9,53865.5,13891.6,15.4478,0.85901,41.2087,0.8711,14.70383,4.7976,16.5083,1.2314,1.4533,11.6418,0.4176,0.92307,0.0846,6.9391,28.4143,15.1526,0.7529,29.3813,0.0281,14.0739,0.7257,2.8917,45.42,0.9027,0.091,5.825302,5.7,8.6,7.1,6.072157,8.99557,9.063883,6.6,4.8,6.8,26.0,8.6,8.1,10.1,7.2,27.6,9.2,12.9,5.9,5.665851,12.6,4.0,3.1,11.7,6.0,11.7,4.886497,8.5,3.6,10.3,16.2,14.0,9.6,8.0,9.1,7.2,5.825302,5.7,8.6,7.1,6.072157,8.99557,9.063883,6.6,4.8,6.8,26.0,8.6,8.1,10.1,7.2,27.6,9.2,12.9,5.9,5.665851,12.6,4.0,3.1,11.7,6.0,11.7,4.886497,8.5,3.6,10.3,16.2,14.0,9.6,8.0,9.1,7.2,0,2,0,9.2,14.3,5.6,0,146.0,0,12,6,0,0,136.7,13,5,0,0,108.6,11,6
