"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","0","Units",,,53701.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","USD","US Dollar","0","Units",,,53903.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","USD","US Dollar","0","Units",,,50140.4,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2020-Q3","Q3-2020","USD","US Dollar","0","Units",,,52694.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2020-Q4","Q4-2020","USD","US Dollar","0","Units",,,55066.7,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,56983.6,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,58335.7,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,58205.8,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,61403.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,63093.9,"E","Estimated value"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,65018,"E","Estimated value"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","0","Units","2015","2015",48392.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","USD","US Dollar","0","Units","2015","2015",48074.8,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","USD","US Dollar","0","Units","2015","2015",44657.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2020-Q3","Q3-2020","USD","US Dollar","0","Units","2015","2015",46239.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2020-Q4","Q4-2020","USD","US Dollar","0","Units","2015","2015",47824.8,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units","2015","2015",48716.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units","2015","2015",48938.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units","2015","2015",48020.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units","2015","2015",49821.4,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units","2015","2015",50125.1,"E","Estimated value"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units","2015","2015",50496.4,"E","Estimated value"
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","0","Units",,,49666.6,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","USD","US Dollar","0","Units",,,47676.4,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","USD","US Dollar","0","Units",,,41178.7,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2020-Q3","Q3-2020","USD","US Dollar","0","Units",,,49382.9,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2020-Q4","Q4-2020","USD","US Dollar","0","Units",,,48807.5,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,48665.2,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,49409.3,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,51486,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,52497.8,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,53407.1,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HCPCARSA","Per Head, US $, current prices, current PPPs, seasonally adjusted","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,54709.1,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","0","Units","2015","2015",42992,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","USD","US Dollar","0","Units","2015","2015",40569.7,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","USD","US Dollar","0","Units","2015","2015",35054.3,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2020-Q3","Q3-2020","USD","US Dollar","0","Units","2015","2015",41454.8,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2020-Q4","Q4-2020","USD","US Dollar","0","Units","2015","2015",41058,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units","2015","2015",41056.6,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units","2015","2015",41456.3,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units","2015","2015",42798.8,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units","2015","2015",42997.9,,
