,stn,time,hns010mx,hns000m0,hto000m0,rre150m0,rsd100m0,rs1000m0
0,GSG,201301,46,76,57,97.1,4,0
1,GSG,201302,85,120,86,138.0,2,0
2,GSG,201303,47,63,78,76.8,2,0
3,GSG,201304,-,21,29,120.0,4,0
4,GSG,201305,-,-,-,210.7,6,0
5,GSG,201306,-,-,0,95.9,4,0
6,GSG,201307,-,-,0,125.7,5,0
7,GSG,201308,-,-,0,79.5,4,0
8,GSG,201309,-,-,0,181.4,5,0
9,GSG,201310,-,-,-,136.7,5,0
10,GSG,201311,-,-,6,173.0,7,0
11,GSG,201312,-,-,19,59.7,2,0
12,GSG,201401,-,-,40,87.5,5,0
13,GSG,201402,-,-,80,152.7,6,0
14,GSG,201403,-,-,84,42.5,2,0
15,GSG,201404,-,-,9,111.6,4,0
16,GSG,201405,-,-,0,159.1,7,0
17,GSG,201406,-,-,0,96.9,4,0
18,GSG,201407,-,-,0,295.8,11,0
19,GSG,201408,-,-,0,250.9,11,0
20,GSG,201409,-,-,0,42.0,1,0
21,GSG,201410,2,2,0,100.0,5,0
22,GSG,201411,11,12,1,95.9,4,0
23,GSG,201412,54,64,6,94.1,3,0
24,GSG,201501,-,-,22,162.0,8,0
25,GSG,201502,-,-,-,66.0,3,0
26,GSG,201503,-,-,-,186.0,5,0
27,GSG,201504,-,-,-,100.2,4,0
28,GSG,201505,6,6,0,242.8,8,0
29,GSG,201506,-,-,-,121.7,4,0
30,GSG,201507,-,-,-,82.4,5,0
31,GSG,201508,-,-,-,153.9,6,0
32,GSG,201509,-,-,-,94.4,4,0
33,GSG,201510,-,4,0,98.7,5,0
34,GSG,201511,71,71,8,154.8,3,1
35,GSG,201512,46,0,16,18.8,0,0
36,GSG,201601,99,122,47,257.1,8,0
37,GSG,201602,72,110,66,193.2,7,0
38,GSG,201603,86,83,90,87.3,2,0
39,GSG,201604,38,45,14,151.3,7,0
40,GSG,201605,40,10,1,210.7,8,0
41,GSG,201606,-,-,-,205.3,9,0
42,GSG,201607,-,-,-,152.9,5,0
43,GSG,201608,-,-,-,91.6,2,0
44,GSG,201609,-,-,-,88.0,3,0
45,GSG,201610,-,0,0,110.1,4,0
46,GSG,201611,64,64,8,149.1,5,0
47,GSG,201612,2,2,0,0.2,0,0
48,GSG,201701,78,94,27,98.2,4,0
49,GSG,201702,44,72,43,104.3,4,0
50,GSG,201703,75,58,49,141.4,5,0
51,GSG,201704,18,21,1,81.2,3,0
52,GSG,201705,21,5,0,112.7,5,0
53,GSG,201706,-,-,-,168.6,7,0
54,GSG,201707,-,-,-,154.5,6,0
55,GSG,201708,-,-,-,130.9,4,0
56,GSG,201709,-,-,-,92.8,3,0
57,GSG,201710,-,0,0,80.6,3,0
58,GSG,201711,35,69,9,115.5,4,0
59,GSG,201712,87,141,41,205.6,7,0
60,GSG,201801,70,82,61,360.4,11,0
61,GSG,201802,33,61,83,75.7,4,0
62,GSG,201803,45,99,80,135.7,5,0
63,GSG,201804,41,0,21,53.5,2,0
64,GSG,201805,0,0,0,126.4,4,0
65,GSG,201806,-,-,-,49.7,1,0
66,GSG,201807,-,-,-,68.6,2,0
67,GSG,201808,-,-,-,132.1,4,0
68,GSG,201809,-,-,-,89.9,4,0
69,GSG,201810,-,3,0,56.6,2,0
70,GSG,201811,18,18,2,27.7,0,0
71,GSG,201812,27,34,11,270.7,11,0
72,GSG,201901,78,148,43,110.9,5,0
73,GSG,201902,93,61,81,54.6,1,0
74,GSG,201903,66,79,74,163.3,8,0
75,GSG,201904,39,59,31,82.9,4,0
76,GSG,201905,17,7,0,183.6,8,0
77,GSG,201906,0,0,0,147.0,5,0
78,GSG,201907,0,0,0,103.4,6,0
79,GSG,201908,0,0,0,186.6,6,0
80,GSG,201909,0,0,0,69.9,3,0
81,GSG,201910,0,0,0,149.8,5,0
82,GSG,201911,12,21,3,139.2,5,0
83,GSG,201912,72,103,12,203.6,7,0
84,GSG,202001,51,57,18,67.4,3,0
85,GSG,202002,64,66,36,208.7,9,0
86,GSG,202003,65,49,42,126.2,4,0
87,GSG,202004,2,0,1,65.9,2,0
88,GSG,202005,0,0,0,99.4,4,0
89,GSG,202006,0,0,0,161.9,5,0
90,GSG,202007,0,0,0,89.4,3,0
91,GSG,202008,0,0,0,225.0,8,0
92,GSG,202009,2,2,0,115.1,5,0
93,GSG,202010,2,1,0,199.8,9,0
94,GSG,202011,5,10,1,35.4,1,0
95,GSG,202012,46,82,25,96.3,2,0
96,GSG,202101,81,141,54,276.8,9,0
97,GSG,202102,70,21,68,63.1,2,0
98,GSG,202103,106,109,79,122.4,5,0
99,GSG,202104,19,19,22,49.4,2,0
100,GSG,202105,3,3,0,266.3,10,0
101,GSG,202106,0,0,0,164.4,10,0
102,GSG,202107,0,0,0,294.1,10,0
103,GSG,202108,0,0,0,121.5,6,0
104,GSG,202109,0,0,0,100.0,2,0
105,GSG,202110,0,0,0,43.5,1,0
106,GSG,202111,31,32,2,50.1,1,0
107,GSG,202112,116,122,46,183.5,6,0
108,GSG,202201,58,68,46,56.5,3,0
109,GSG,202202,51,68,67,156.4,5,0
110,GSG,202203,37,3,59,27.6,1,0
111,GSG,202204,51,48,11,120.4,5,0
112,GSG,202205,0,0,0,98.7,4,0
113,GSG,202206,0,0,0,126.2,5,0
114,GSG,202207,0,0,0,75.7,3,0
115,GSG,202208,0,0,0,84.6,5,0
116,GSG,202209,0,0,0,167.3,5,0
