,stn,time,tnd00xm0,tnd00nm0,tnd30xm0,rre150m0,rsd100m0,rs1000m0,tre200m0,tre2dymx,tre2dymn
0,MMSAA,201608,0,0,0,90.6,4,0,16.4,23.0,10.2
1,MMSAA,201609,0,0,0,56.0,2,0,13.5,19.8,8.2
2,MMSAA,201610,0,12,0,68.2,3,0,5.7,11.1,1.5
3,MMSAA,201611,4,24,0,-,-,-,1.7,5.6,-2.2
4,MMSAA,201612,19,30,0,0.2,0,0,-4.4,-0.5,-6.8
5,MMSAA,201701,23,30,0,52.6,2,0,-8.0,-3.4,-12.0
6,MMSAA,201702,0,27,0,62.2,2,0,-0.3,5.1,-4.2
7,MMSAA,201703,0,17,0,118.8,3,0,4.7,11.0,-0.4
8,MMSAA,201704,-,-,-,-,-,-,6.3,12.9,0.2
9,MMSAA,201705,-,-,-,-,-,-,-,-,-
10,MMSAA,201706,0,0,0,123.0,6,0,17.1,23.4,10.8
11,MMSAA,201707,0,0,0,116.8,6,0,17.0,23.1,11.1
12,MMSAA,201708,0,0,0,117.6,5,0,16.6,23.3,10.4
13,MMSAA,201709,0,0,0,77.0,3,0,9.9,15.8,5.1
14,MMSAA,201710,0,4,0,70.8,3,0,7.2,14.5,2.2
15,MMSAA,201711,6,24,0,113.2,3,0,-0.7,3.5,-3.9
16,MMSAA,201712,16,28,0,171.4,5,0,-4.8,-1.0,-8.5
17,MMSAA,201801,2,25,0,296.4,9,0,-0.3,3.7,-3.1
18,MMSAA,201802,11,26,0,71.8,3,0,-4.0,0.4,-7.6
19,MMSAA,201803,0,28,0,114.2,3,0,1.1,6.2,-2.9
20,MMSAA,201804,-,-,-,-,-,-,9.6,18.4,1.6
21,MMSAA,201805,-,-,-,-,-,-,-,-,-
22,MMSAA,201806,-,-,-,40.6,2,0,-,-,-
23,MMSAA,201807,-,-,-,-,-,-,-,-,-
24,MMSAA,201808,-,-,-,-,-,-,-,-,-
25,MMSAA,201809,-,-,-,-,-,-,-,-,-
26,MMSAA,201810,-,-,-,-,-,-,-,-,-
27,MMSAA,201811,1,18,0,5.8,0,0,2.5,6.9,-1.0
28,MMSAA,201812,6,19,0,-,8,0,-0.3,2.5,-3.0
29,MMSAA,201901,21,31,0,100.8,4,0,-4.9,-1.3,-8.6
30,MMSAA,201902,2,28,0,48.6,3,0,-2.4,5.0,-7.6
31,MMSAA,201903,-,-,-,-,-,-,-,-,-
